id_news|diario|title|snippet|time|year|svm_prediction
ecuador_eluniverso_2016_116|El Universo|Corte Interamericana condena a Ecuador por tortura y detención ...|La Corte Interamericana de Derechos Humanos (CorteIDH) condenó a Ecuador por tortura y privación ilegal de libertad a cuatro ciudadanos extranjeros, que ...|28 Oct. 2016|2016|crime
ecuador_eluniverso_2017_92|El Universo|12 millones de dólares y 11 detenidos, en operativo antinarcótico en ...|En Ecuador, las autoridades indicaron que entre los 11 detenidos consta Freddy Eduardo Z. H., un capitán de Policía, de 34 años, en servicio activo, quien se ...|13 abr. 2017|2017|crime
ecuador_eluniverso_2017_100|El Universo|Turista argentina denuncia agresión en Vilcabamba|Una turista argentina denunció que hace pocas semanas sufrió un ataque en Vilcabamba, en la provincia de Loja. Andrea Carenzo, de 31 años, narró en sus ...|28 dic. 2017|2017|crime
ecuador_eluniverso_2017_101|El Universo|Los casos de femicidio en 2017 en Ecuador|Total: 132 casos de femicidio hasta el 24 de octubre de 2017, según la Comisión Ecuménica de Derechos Humanos. Las cifras del Ministerio del Interior y de la ...|23 Nov. 2017|2017|crime
ecuador_eluniverso_2018_4|El Universo|Autoridades de Ecuador confirman secuestro de una pareja en la ...|El hombre que habla en el video, entregado por Guacho, afirma tener familia en Ecuador. pic.twitter.com/isv1EWdtK8 vía @santiagomolinao. — El Universo ...|17 abr. 2018|2018|crime
ecuador_eluniverso_2018_19|El Universo|Capturan en Colombia a 'Brayan', lugarteniente de 'Guacho'|Se trata de 'Brayan', integrante de la red vinculada a la violencia en la frontera entre Ecuador y Colombia, cuyos atentados se registran desde enero pasado.|18 abr. 2018|2018|crime
ecuador_eluniverso_2018_22|El Universo|Atentado con coche bomba en cuartel policial en Esmeraldas deja 28 ...|El presidente Moreno refirió incluso que es la primera vez que se da en Ecuador. El fiscal general, Carlos Baca Mancheno, dijo en rueda de prensa que ...|27 ene. 2018|2018|crime
ecuador_eluniverso_2018_25|El Universo|¿Quiénes son los tres periodistas secuestrados en Ecuador?|Su secuestro es el primero que golpea a la prensa ecuatoriana en tres décadas. Los dos periodistas y el conductor del diario El Comercio están secuestrados ...|3 abr. 2018|2018|crime
ecuador_eluniverso_2018_52|El Universo|Equipo periodístico de diario El Comercio fue secuestrado, confirman ...|... contra miembros de grupos armados disidente relacionados directamente con el narcotráfico que operan en Colombia, al margen de la frontera ecuatoriana.|27 Mar. 2018|2018|crime
ecuador_eluniverso_2018_57|El Universo|Fiscal de Colombia vincula el atentado en Ecuador con un disidente ...|El fiscal colombiano Néstor Martínez, durante el encuentro internacional sobre extinción de dominio, afirmó que el atentado con coche bomba de este sábado ...|29 ene. 2018|2018|crime
ecuador_eluniverso_2018_66|El Universo|Detienen a militares e indagan sus vínculos con alias 'Guacho'|Actualizado a las 18:52. Varios uniformados en servicio activo y personal civil fueron detenidos en siete allanamientos a recintos militares como parte del ...|17 Oct. 2018|2018|crime
ecuador_eluniverso_2018_80|El Universo|Familias de periodistas asesinados esperan primeros datos ...|Los familiares del equipo periodístico secuestrado y asesinado en la frontera norte se reúnen hoy, a las 18:00, con el presidente Lenín Moreno, para recibir la ...|13 May. 2018|2018|crime
ecuador_eluniverso_2018_91|El Universo|Usan canes para rastrear cadáveres de periodistas|Seis presuntos integrantes de la agrupación Oliver Sinisterra, liderada por alias Guacho fueron dados de baja en una operación realizada por el Ejército ...|5 Jun. 2018|2018|crime
ecuador_eluniverso_2018_101|El Universo|El volcán de la isla Fernandina en Galápagos entró en erupción|El volcán La Cumbre de la isla Fernandina entró en un nuevo proceso de erupción, indicó este sábado la Dirección del Parque Nacional Galápagos (PNG).|16 Jun. 2018|2018|other
ecuador_eluniverso_2018_102|El Universo|Jugadores de Emelec están 'estimulados', dice DT Soso|... de ataques que pudimos recrear en esta para (en referencia a la pausa del campeonato por la participación de la selección de Ecuador en amistosos)”.|25 Nov. 2018|2018|sports
ecuador_eluniverso_2018_107|El Universo|Ocho disidentes de FARC mueren en combates en zona fronteriza ...|... resultaron heridos durante operativos militares en el departamento colombiano de Putumayo, limítrofe con Ecuador, dijeron las autoridades este miércoles.|16 May. 2018|2018|crime
ecuador_lahora_2016_31|La Hora (Ecuador)|Cordero pide la disponibilidad de dos oficiales del Ejército|Se trata de los directivos del hospital de Guayaquil que resolvieron no recibir pacientes por la falta de recursos. El coronel de Estado Mayor Conjunto del ...|28 ene. 2016|2016|crime
ecuador_lahora_2016_38|La Hora (Ecuador)|416 presos de El Rodeo son trasladados a cárcel de Guayas tras ...|El Ministerio de Justicia, Derechos Humanos y Cultos de Ecuador informó hoy, 19 de abril de 2016, que 416 personas privadas de libertad (PPL) que estaban ...|19 abr. 2016|2016|crime
ecuador_lahora_2016_45|La Hora (Ecuador)|Capturan a tres supuestos 'sacapintas' en el sur de Quito|QUITO Esta mañana (16 de marzo de 2016) fueron capturados por la Policía tres supuestos 'sacapintas', quienes iban a robar a un cliente de una agencia del ...|16 Mar. 2016|2016|crime
ecuador_lahora_2017_5|La Hora (Ecuador)|Entre 3 y 4 niñas son violadas cada día en Ecuador|Entre 3 y 4 niñas son violadas cada día en Ecuador ... se presentaron las cifras más recientes que se tienen sobre la violencia contra las mujeres en Ecuador.|12 Jul. 2017|2017|crime
ecuador_lahora_2017_26|La Hora (Ecuador)|6 provincias concentran casos de femicidios en Ecuador|6 provincias concentran casos de femicidios en Ecuador ... pasado, lo que da cuenta que cada 50 horas una mujer es ultimada violentamente en Ecuador.|10 Sep. 2017|2017|crime
ecuador_lahora_2017_27|La Hora (Ecuador)|10 niños son abusados cada día en Ecuador|Cada día en Ecuador, un promedio de 10 menores de edad sufren violaciones, acoso, explotación sexual o son exhibidos para prostitución e, inclusive, ...|3 Oct. 2017|2017|crime
ecuador_lahora_2017_30|La Hora (Ecuador)|Policía niega existencia de carteles mexicanos operando en Ecuador|Cuatro de estos cárteles tendrían operaciones en Ecuador, entre estos, los de Sinaloa, liderado por el 'Chapo' Guzmán, Zetas, el de la familia Michoacana y el ...|13 Nov. 2017|2017|crime
ecuador_lahora_2017_34|La Hora (Ecuador)|Femicidios: ONU Mujeres pide 'estadísticas claras' a Ecuador|Tras reunirse con varias autoridades durante una visita realizada a Ecuador, la semana pasada, la directora de la División de Programas de ONU Mujeres, ...|20 ago. 2017|2017|crime
ecuador_lahora_2017_41|La Hora (Ecuador)|Fiscal Diana Salazar recibe amenazas de muerte|La Fiscal Diana Salazar, quien lleva investigaciones sobre el caso Odebrech en Ecuador, recibió amenazas de muerte a través de un video denominado ...|22 Oct. 2017|2017|crime
ecuador_lahora_2017_45|La Hora (Ecuador)|Terrorismo presente en la frontera entre Colombia y Ecuador|A eso se suma que los cultivos ilícitos han crecido, el narcotráfico sigue imparable y la minería ilegal alimenta la violencia en los territorios cercanos a Ecuador.|9 Jul. 2017|2017|crime
ecuador_lahora_2018_0|La Hora (Ecuador)|Santos: 'A los periodistas los secuestraron en Ecuador y ...|“Me duele inmensamente esto que ha sucedido, Hemos estado muy pendientes y en constante comunicación con el Presidente de Ecuador, Lenin Moreno, ...|15 abr. 2018|2018|crime
ecuador_lahora_2018_12|La Hora (Ecuador)|Ecuador: Atentado deja varios heridos en San Lorenzo, Esmeraldas|Un artefacto explosivo estalló en un cuartel de la policía de Ecuador en la provincia de Esmeraldas (norte), dejando 24 heridos leves, entre uniformados y ...|27 ene. 2018|2018|crime
ecuador_lahora_2018_17|La Hora (Ecuador)|Condena' internacional tras ataque terrorista en la frontera de Ecuador|El Sistema de Naciones Unidas y la representación de la Unión Europea en Ecuador condenaron el ataque registrado el martes en Mataje, que dejó tres ...|21 Mar. 2018|2018|crime
ecuador_lahora_2018_20|La Hora (Ecuador)|Capturan en Colombia a implicada en bus con droga para extraditarla ...|Reiteró que en Colombia contra Orozco no hay ningún proceso y que su captura es por la petición de extradición que hace Ecuador. El accidente ocurrió en la ...|31 ago. 2018|2018|crime
ecuador_lahora_2018_22|La Hora (Ecuador)|Ataque deja sin luz a miles de personas en la frontera de Colombia y ...|Casi 300.000 personas están a oscuras en la convulsa frontera colombiana con Ecuador, a raíz de un atentado atribuido este jueves por el ejército a la guerrilla ...|19 abr. 2018|2018|crime
ecuador_lahora_2018_37|La Hora (Ecuador)|Narcotráfico, una amenaza para Ecuador|""Narcotráfico, una amenaza para Ecuador. DIC, 14, 2018 |. CAPO. Joaquín 'el Chapo' Guzmán fue recapturado en 2016 y en la actualidad enfrenta un juicio en ...""|13 dic. 2018|2018|crime
ecuador_eluniverso_2017_30|El Universo|Reporte de niña desaparecida activa a lojanos|Padres de familia y alumnos de algunos planteles, más agentes de Policía participan de la búsqueda de Emilia Alejandra Benavídez Cuenca, de 9 años, cuya ...|16 dic. 2017|2017|crime
ecuador_eluniverso_20190814|El Universo|22 años de prisión para tío que violaba a niña|UNo de los dos tíos acusados de violar a una niña de 6 años en Pichincha, fue sentenciado a 22 años de cárcel;el otro continúa prófugo, según las autoridades.|14 ag. 2019|2019|crime
ecuador_eluniverso_20190814|El Universo|Mujer denuncia abuso sexual en bus y con su hija en brazos|Mujer de 18 años denunció que fue ultrajada en una unidad de transporte público. El abuso quedó registrado en los videos del bus y él fue detenido.|14 ag. 2019|2019|crime
ecuador_eluniverso_20190814|El Universo|Roban vivienda de exjuez en Manabí|Antisociales vestidos de policías asaltaron la casa de un exjuez de la Corte Suprema de Justicia, en Montecristi.|14 ag.2019|2019|crime
ecuador_eluniverso_20190814|El Universo|Atentado en contra de jurista, en El Oro|Dos sujetos a bordo de una moto lanzaron un artefacto explosivo al auto en el que se movilizaba un abogado.|14 ag. 2019|2019|crime
ecuador_eluniverso_20190814|El Universo|Mataron a policía por robarle; hay 2 heridos|Uniformado había llegado a Quito para celebrar un matrimonio. Recibió puñalada mortal. El policía identificado como Ángelo Paillacho fue asesinado la noche del viernes...|14 ag. 2019|2019|crime
ecuador_eluniverso_20190815|El Universo|Femicidio y suicidio se investigan en Quito|La poliía investiga un femicidio y posterior suicidio en el norte de Quito. Según un parte policial, Doris Camacho, de 37 años, y Luis Simbaña, de 45, aparecieron muertos en el interior de un domicilio...|15 ag. 2019|2019|crime
ecuador_eluniverso_20190815|El Universo|Sin pistas de dos asaltantes de una pareja en Los Ceibos|Dos motorizados, con arma en mano, asaltaron el domingo pasado a una pareja que se movilizaba en un auto a pleno día en la ciudadela Los Ceibos.|15 ag. 2019|2019|crime
ecuador_eluniverso_20190815|El Universo|Dos heridos por resistirsee a robo|Dos hombres que se resistieron al robo de un celular fueron heridos de bala, la madrugada de ayer...|15 ag. 2019|2019|crime
ecuador_eluniverso_20190815|El Universo|Presunto antisocial detenido por habitantes|Un grupo de personas retuvo y entregó a la Policía a un presunto delincuente en las calles Junín y Pichincha, luego de que fuera acusado de robo...|15 ag. 2019|2019|crime
ecuador_eluniverso_20190813|El Universo|Ratifican sentencia por abuso a niña|Una sentencia condenatoria a una mujer acusada de violar a una niña de 3 años fue ratificada por la Sala Penal de la Corte Provincial de justicia de Pichincha.|13 ag. 2019|2019|crime
ecuador_eluniverso_20190813|El Universo|Alistan audiencia por la muerte de universitarias|En quince días se aspira a que se realice la audiencia de sustentación y presentación del dictamen fiscal en contra de las dos personas detenidas por las muertes...|13 ag.2019|2019|crime
ecuador_eluniverso_20190813|El Universo|Acusados piden en audiencia no ser llevados a Penitenciaría|Defensor de jurista analiza demandar a autoridades por difamación al vincularlo a narcos.|13 ag. 2019|2019|crime
ecuador_eluniverso_20190813|El Universo|Sentencian a waoranis a trabajos, por crimen|Seis años después de que 17 personas de nacionalidad waorani atacaran a miembros de una comunidad taromenane, provocando la muerte de varias personas, un tribunal de Garantías Penales...|13 ag. 2019|2019|crime
 | |Profesor de una escuela del cantón Mejía detenido por ser presunto ...|Profesor de una escuela del cantón Mejía detenido por ser presunto autor de ... zapatos deportivos se reduce y para implementos se baja a cero en Ecuador.|20 oct. 2017|2017|crime
 | |Cómo detectar si un niño es víctima de abuso sexual y cómo actuar ...|Los datos de la Fiscalía son decidores: en Ecuador, 9 de cada 10 agresores forman ... de abuso sexual en la familia o en la escuela e iglesia, según la entidad.|18 oct. 2017|2017|crime
 | |Niño de 8 años se infectó con VIH por la violación en una escuela de ...|Apenas tenía 8 años y con engaños fue llevado al baño de la escuela donde ... del caso junto con Pedro Granja y la Federación de Abogados del Ecuador.|25 oct. 2017|2017|crime
 | |Juicio por tortura contra niños de escuela de Guayaquil se retomará el ...| El delito habría ocurrido en los baños de una escuela pública del norte de la ... Aún hay trabas en casos de violencia sexual en Ecuador · El caso de tortura ...|12 sep. 2018|2018|crime
 | |Niña secuestrada en Sucumbíos y rescatada en Colombia se reúne ...|Min Interior Ecuador (@MinInteriorEc) 15 de octubre de 2018 · Niña de 12 años sacada por la fuerza de escuela en Cascales lleva 20 días desaparecida en la ...|15 oct. 2018|2018|crime
 | |Pese a abuso sexual a 41 niños, colegio no cierra el caso|La placa será develada en memoria de los niños del sexto C y llevará está frase: “Por las víctimas de abuso infantil en el sistema educativo”.|19 jun. 2017|2017|crime
 | |Investigan robo de computadoras en remodelado colegio de Guayaquil| Doce computadoras fueron robadas del recientemente reinaugurado Colegio Nacional Vicente Rocafuerte. Los equipos portátiles fueron sacados de uno de ...|10 nov. 2015|2015|crime
 | |Autoridades evalúan dos aulas en escuela tras denuncias de abuso ...|Autoridades evalúan dos aulas de escuela tras denuncias de abuso sexual.|11 oct. 2017|2017|crime
 | |Más niños muestran secuelas por casos de abuso en escuela de ...|Más niños muestran secuelas por casos de abuso en escuela de Guayaquil.|18 oct. 2017|2017|crime
 | |Policía detuvo a otros 2 docentes por abuso sexual en escuela de ...|Los identificaron como un maestro de inglés y un inspector. Otros dos docentes fueron detenidos la tarde de este viernes 13 de octubre del 2017, en la escuela ...|13 oct. 2017|2017|crime
 | |Una nueva denuncia de abuso sexual se registra en colegio privado ...|El abogado de la familia del menor dijo que las investigaciones deben determinar en qué lugar ocurrían los supuestos abusos, en una escuela de Guayaquil.|4 dic. 2017|2017|crime
 | |Hombre de 23 años se llevó a niña de escuela de Cascales; Ministro ...|El secuestro de una niña de 12 años ocurrido el pasado 12 de junio en Cascales, provincia de Sucumbíos, es, según el ministro del Interior, Mauro Toscanini, ...|3 jul. 2018|2018|crime
 | |Cuatro detenidos por asalto en Manabí.|Cuatro personas fueron detenidas la noche del viernes luego de un asalto perpretado en una farmacia...La policía fue alertada y pudo capturar a cuatro sujetos...|10 ag. 2019|2019|crime
